contract_id,category,budget_usd,compliance_history,urgency,contract_duration_days,num_line_items,lead_time_buffer_days,vendor_score,past_disputes,vendor_is_local,previous_contracts,region,delayed
CT-01224,Cloud License,21639.19,67,High,180,12,38,2.7,0,0,6,North America,0
CT-00679,Networking,203373.67,66,Low,45,1,34,4.9,2,0,4,Asia,1
CT-04627,Cloud License,76925.5,47,High,90,3,37,4.5,1,0,17,North America,1
CT-01490,Hardware,316923.69,69,Critical,45,1,58,6.6,0,0,7,Europe,0
CT-07130,Software,21185.38,80,Low,270,3,31,8.3,2,0,4,North America,0
CT-06252,Hardware,101029.04,57,Medium,45,2,50,6.3,3,1,4,LATAM,1
CT-04694,Hardware,14425.44,31,Medium,30,7,52,5.5,0,1,3,Europe,0
CT-01492,Hardware,9320.06,53,Critical,365,15,21,5.8,0,1,4,LATAM,1
CT-02300,Cloud License,95279.63,71,Medium,180,7,60,5.4,0,1,0,Asia,1
CT-04997,Services,10353.2,78,Low,180,12,25,7.8,1,1,15,North America,0
CT-04807,Networking,9958.99,67,Medium,60,1,32,7.6,0,0,9,Europe,0
CT-03357,Services,118571.12,78,Low,60,13,47,5.5,3,1,10,LATAM,1
CT-05440,Cloud License,47518.4,56,Low,60,1,16,4.6,0,0,19,Asia,0
CT-06864,Cloud License,33214.83,74,Low,120,8,12,2.9,0,1,16,LATAM,1
CT-00708,Hardware,129135.67,37,Low,270,5,55,7.1,2,0,0,Asia,1
CT-05396,Networking,7784.7,100,Medium,30,2,57,5.0,0,0,7,Europe,0
CT-03050,Networking,12468.3,52,Low,270,12,7,4.1,0,0,14,Europe,1
CT-04308,Services,359604.07,61,Medium,60,11,37,6.7,0,1,7,North America,1
CT-00280,Services,431391.5,52,Medium,45,4,27,5.9,0,1,16,Europe,0
CT-03698,Cloud License,25706.34,30,Medium,180,15,23,5.5,0,1,17,Europe,1
CT-07061,Networking,78184.26,37,Low,90,5,22,8.2,0,1,6,LATAM,1
CT-01502,Software,500000,67,High,365,7,42,8.2,0,0,7,North America,0
CT-05300,Software,18835.24,68,Medium,270,6,48,6.0,0,0,11,Asia,1
CT-02878,Services,272835.43,44,Critical,180,4,24,4.4,0,0,18,LATAM,1
CT-03193,Cloud License,145042.93,72,Critical,30,3,58,4.5,0,0,7,LATAM,0
CT-03637,Services,7198.18,42,High,45,3,8,5.1,0,0,6,Asia,1
CT-01899,Cloud License,38667.58,48,Medium,30,8,49,6.7,0,0,14,North America,0
CT-02216,Networking,12081.42,80,High,365,5,42,7.0,0,0,0,Europe,1
CT-05296,Software,186639.43,92,Medium,30,3,48,5.6,0,1,16,Europe,0
CT-00287,Hardware,25328.08,55,High,270,10,44,2.4,0,1,19,North America,1
CT-04876,Software,94592.31,67,Critical,365,15,34,5.7,0,0,14,Europe,1
CT-06708,Cloud License,21593.08,53,Critical,45,7,37,7.1,2,1,4,North America,1
CT-05486,Networking,57442.61,62,High,120,15,35,7.4,3,0,2,North America,0
CT-06815,Hardware,95388.31,35,Medium,365,12,33,10.0,1,1,10,Europe,0
CT-01799,Hardware,30145.22,57,High,45,6,16,5.1,0,0,3,LATAM,1
CT-02037,Hardware,134284.08,40,High,180,11,29,10.0,1,0,7,LATAM,1
CT-02580,Hardware,22509.12,90,Critical,180,13,15,5.3,0,1,10,LATAM,0
CT-01734,Software,88296.67,75,High,60,9,24,5.4,0,1,0,North America,0
CT-05114,Services,73482.83,48,Low,90,1,18,6.6,3,0,12,Asia,1
CT-03880,Software,139267.74,43,Medium,120,5,44,9.1,0,1,13,LATAM,0
CT-01200,Hardware,26337.33,73,Medium,90,14,18,3.7,0,0,4,Asia,1
CT-06746,Services,169758.41,75,Medium,270,9,13,7.8,1,0,4,Asia,1
CT-07801,Hardware,9559.52,68,High,180,13,4,6.9,0,1,1,Europe,1
CT-03722,Services,61487.99,89,Medium,30,2,52,5.0,0,0,10,Europe,0
CT-03530,Hardware,116694.12,21,High,30,11,4,4.8,1,0,3,Europe,1
CT-07923,Software,58805.47,46,High,180,8,9,5.0,1,1,15,LATAM,0
CT-05239,Software,12142.93,59,Low,120,4,55,3.0,1,0,14,LATAM,0
CT-02709,Networking,500000,93,Low,120,6,6,7.1,0,0,7,Europe,1
CT-01128,Networking,160464.66,55,High,60,3,51,9.7,2,0,7,LATAM,0
CT-04422,Networking,100480.72,61,Medium,365,2,21,6.7,0,0,2,Europe,0
CT-06707,Cloud License,21355.85,57,Medium,120,6,43,7.1,0,0,16,Asia,0
CT-00134,Software,54756.63,30,Low,45,1,56,4.5,0,0,10,Asia,0
CT-02350,Services,84613.04,66,Low,45,9,18,5.6,0,0,15,North America,1
CT-02614,Software,219090.96,64,Medium,60,3,24,9.0,3,0,13,Europe,0
CT-05636,Cloud License,55823.01,62,Low,365,12,17,6.0,1,1,17,North America,0
CT-01127,Hardware,500000,77,High,365,15,12,7.4,2,0,14,LATAM,1
CT-01271,Services,15607.49,64,Medium,120,3,12,6.8,0,0,10,Europe,0
CT-07076,Software,23895.9,75,Critical,120,10,38,6.0,0,1,11,North America,0
CT-00305,Networking,57168.36,56,Critical,90,13,8,8.0,0,0,8,Asia,1
CT-01265,Networking,44675.12,79,Low,120,1,59,9.3,0,0,13,LATAM,0
CT-07691,Services,322132.62,53,Low,120,12,26,9.6,0,1,5,North America,1
CT-01567,Software,5167.66,79,Medium,30,2,45,7.0,1,1,2,Europe,0
CT-05643,Software,272907.93,56,Medium,120,6,13,7.6,3,0,19,Europe,1
CT-03300,Hardware,132947.73,47,Medium,365,9,21,8.1,0,0,7,Asia,1
CT-03242,Hardware,59794.45,54,High,45,9,10,9.2,1,0,17,Europe,1
CT-03220,Services,44243.73,79,High,270,10,42,8.6,0,1,3,North America,0
CT-00592,Software,30110.52,58,Critical,30,12,30,5.6,0,1,16,Asia,0
CT-07841,Software,62056.43,41,Critical,60,13,36,7.8,0,1,5,Asia,1
CT-04726,Software,93665.86,62,Critical,180,8,46,2.2,3,0,11,Asia,1
CT-04912,Services,20874.23,45,Low,45,10,38,8.0,2,0,6,Asia,0
CT-07323,Networking,16587.62,84,Medium,270,12,59,7.5,0,1,18,North America,0
CT-03755,Services,32358.35,16,Critical,90,3,13,6.2,2,1,7,North America,0
CT-01062,Software,81425.13,26,Low,90,4,15,5.8,0,1,11,Europe,0
CT-03811,Cloud License,151441.08,66,Low,45,14,31,5.3,1,0,19,LATAM,1
CT-04349,Hardware,34602.9,21,High,365,13,6,7.8,1,0,16,LATAM,1
CT-02233,Software,308083.42,33,Low,60,5,54,4.4,0,1,11,Europe,1
CT-07737,Cloud License,6373.33,58,Low,270,10,55,6.2,0,0,12,Asia,0
CT-00675,Networking,214592.85,65,Low,120,14,17,6.6,0,0,4,Asia,0
CT-00897,Services,99359.92,41,Low,180,8,22,9.1,1,0,6,Europe,0
CT-02000,Software,23505.04,49,Critical,365,12,27,9.4,0,0,15,Europe,1
CT-04361,Networking,13543.14,76,Critical,270,3,24,7.2,0,1,2,LATAM,1
CT-00896,Cloud License,193525.65,72,High,45,11,51,8.1,3,1,10,LATAM,0
CT-03210,Software,22533.88,93,Low,60,13,52,7.4,0,1,9,North America,0
CT-06979,Cloud License,68904.89,61,Critical,30,3,8,6.9,0,1,1,LATAM,0
CT-02657,Networking,2736.74,53,Medium,30,9,3,6.2,1,1,6,LATAM,1
CT-07344,Networking,88332.74,87,Critical,90,2,42,7.6,2,1,8,LATAM,1
CT-01352,Networking,19356.12,65,Critical,30,15,3,5.1,0,0,7,North America,1
CT-05033,Software,22286.84,80,Medium,60,3,20,6.6,0,1,16,Europe,0
CT-02013,Services,244671.48,31,Medium,45,7,44,6.5,0,1,19,LATAM,1
CT-04125,Software,10389.96,40,High,90,14,28,5.9,0,1,3,LATAM,1
CT-01532,Networking,158259.13,41,Low,365,12,12,6.9,0,0,18,Asia,1
CT-04347,Cloud License,68255.54,58,Low,270,7,31,8.7,2,0,13,LATAM,0
CT-04274,Services,13316.83,47,High,120,7,50,5.0,0,1,19,Europe,0
CT-01850,Networking,18997.53,49,High,90,7,37,6.4,0,0,8,Asia,1
CT-02625,Networking,6013.51,78,Medium,120,3,51,7.3,0,1,7,North America,0
CT-00787,Cloud License,216792.5,72,Medium,45,10,21,7.2,0,0,12,Asia,1
CT-02079,Software,17649.57,65,Low,270,5,28,6.9,1,1,5,Asia,0
CT-02084,Cloud License,190655.67,87,Low,180,12,3,6.5,0,1,15,LATAM,1
CT-03855,Software,68184.01,62,Low,90,10,53,7.2,0,0,5,North America,0
CT-02287,Networking,58003.29,50,Medium,180,1,33,4.5,1,1,14,LATAM,1
CT-04946,Networking,43395.74,85,Medium,180,6,57,6.2,0,0,18,Europe,0
CT-04047,Hardware,199399.08,51,Low,45,2,34,6.5,0,0,3,Europe,0
CT-01983,Services,13532.68,55,Medium,45,2,47,6.1,3,1,16,Europe,1
CT-00073,Software,500000,50,Medium,60,3,37,5.7,0,0,0,Europe,0
CT-02154,Services,299413.56,81,Critical,60,5,56,6.0,0,0,3,Asia,1
CT-05456,Hardware,107091.07,39,High,60,12,42,2.6,0,0,20,Asia,0
CT-01779,Networking,51174.42,83,Low,120,14,36,8.5,0,1,10,North America,0
CT-02571,Networking,26359.19,45,Critical,90,3,49,3.4,0,1,20,Europe,1
CT-06653,Software,45644.15,22,Critical,45,15,14,7.9,2,1,4,Asia,1
CT-01709,Cloud License,195593.61,28,Critical,270,6,27,7.0,0,1,18,North America,1
CT-06332,Software,162147.3,54,Critical,120,12,14,7.6,0,0,5,LATAM,1
CT-03864,Hardware,81945.72,97,High,180,14,60,5.4,0,1,8,Asia,1
CT-06868,Networking,14630.95,65,Low,270,15,7,8.2,2,0,5,Europe,1
CT-00542,Cloud License,8560.16,82,Low,60,6,45,6.5,0,0,7,LATAM,0
CT-01704,Services,22976.43,46,High,365,3,42,5.2,1,1,14,Europe,1
CT-04942,Cloud License,58351.48,87,Critical,30,9,26,8.2,0,0,19,Europe,0
CT-03988,Software,59423.27,65,High,30,1,16,7.0,0,0,19,Europe,1
CT-04376,Networking,195699.81,49,High,365,7,43,9.2,1,0,11,Asia,1
CT-07657,Software,37704.03,87,Medium,60,1,12,4.1,0,1,19,Asia,1
CT-07753,Services,80161.87,86,Low,60,13,18,6.0,0,0,3,North America,0
CT-05613,Hardware,78999.32,73,Medium,120,9,45,8.1,1,0,17,Asia,0
CT-05556,Hardware,58943.72,100,Critical,270,2,45,6.1,0,0,9,North America,1
CT-01524,Software,18796.78,55,High,120,9,3,5.3,0,0,12,LATAM,1
CT-00974,Services,5205.24,68,Critical,120,2,55,7.3,1,1,7,Asia,0
CT-00453,Services,27396.28,47,Low,30,13,6,6.0,1,0,14,Europe,1
CT-06186,Cloud License,45331.28,63,Critical,30,7,24,8.8,0,1,2,Asia,0
CT-02250,Cloud License,8549.55,73,High,60,11,46,7.4,3,0,14,North America,1
CT-00995,Networking,8213.12,38,Critical,45,12,17,6.7,1,1,15,North America,1
CT-01103,Software,38881.72,33,Critical,180,2,32,5.1,0,1,5,LATAM,1
CT-05051,Networking,81681.86,39,Low,365,7,38,6.6,0,1,16,Europe,0
CT-01478,Networking,500000,43,Low,180,2,33,4.9,0,0,11,Asia,1
CT-07124,Cloud License,324907.5,52,Low,30,12,17,6.5,0,1,8,Europe,1
CT-01900,Networking,66067.11,87,Critical,45,12,17,2.8,1,0,20,LATAM,1
CT-05104,Services,63391.59,37,Low,30,9,18,9.5,0,1,16,LATAM,1
CT-06743,Networking,24532.39,36,High,270,9,17,5.8,0,0,17,Europe,0
CT-04687,Software,140150.56,77,High,120,3,53,4.8,0,1,19,LATAM,0
CT-03136,Software,46728.41,60,Low,120,1,53,5.4,0,1,3,Asia,0
CT-04898,Hardware,141756.25,59,Low,120,9,51,5.1,2,1,13,Asia,1
CT-07208,Networking,16887.93,54,Medium,60,12,11,6.7,2,1,8,Europe,0
CT-07707,Software,35964.38,71,Medium,90,5,41,10.0,1,0,10,Europe,0
CT-01136,Services,57555.02,38,Critical,45,7,4,6.0,0,0,3,Asia,1
CT-07815,Software,7500.96,74,Medium,45,1,51,5.3,2,1,11,Europe,0
CT-03642,Software,16713.53,50,High,45,7,56,7.6,1,0,20,Europe,0
CT-02059,Software,33650.6,74,High,90,8,51,7.6,1,1,0,Asia,0
CT-07882,Hardware,88693.2,50,Medium,60,7,17,6.1,0,1,3,LATAM,0
CT-06069,Cloud License,20081.14,65,Low,30,12,52,4.0,0,1,16,Europe,0
CT-02312,Services,12462.0,54,High,120,10,42,4.5,0,1,15,North America,0
CT-02511,Services,110063.83,69,High,365,1,50,7.1,0,0,15,Europe,1
CT-00369,Networking,16323.94,81,Low,270,11,23,6.9,1,0,13,Asia,1
CT-04775,Cloud License,187945.16,45,High,180,2,40,4.0,0,0,11,North America,0
CT-01060,Cloud License,11546.26,45,Critical,120,5,4,8.0,0,0,1,North America,0
CT-05130,Networking,239607.36,61,Critical,60,10,46,5.8,0,1,5,LATAM,1
CT-00813,Networking,78732.43,67,High,180,14,26,2.9,2,0,6,Europe,1
CT-03711,Cloud License,256804.77,51,Low,60,4,34,9.4,0,1,17,Asia,0
CT-01442,Networking,42326.3,73,High,45,1,52,4.9,1,1,17,LATAM,0
CT-06847,Networking,500000,94,Medium,120,8,60,9.0,2,0,13,Asia,0
CT-05384,Services,10156.73,75,Critical,120,9,59,7.1,1,0,4,Europe,0
CT-02396,Services,500000,47,Critical,60,14,33,4.3,0,0,13,Asia,1
CT-06048,Cloud License,191272.61,75,Low,60,15,32,5.4,1,1,9,North America,0
CT-04385,Cloud License,45474.33,82,High,45,3,26,7.4,0,1,12,North America,0
CT-02461,Cloud License,43537.9,78,Critical,90,11,33,9.9,0,1,11,Europe,0
CT-00524,Software,3016.63,31,High,60,9,54,10.0,2,0,4,Asia,0
CT-00756,Software,3645.97,50,Critical,30,4,31,5.7,0,0,11,Europe,0
CT-03399,Services,11575.47,66,Medium,365,3,32,6.7,0,0,10,Asia,1
CT-02339,Software,90492.7,46,Medium,120,9,19,5.7,1,0,18,Asia,1
CT-03254,Services,20873.01,78,Medium,270,12,57,7.8,1,0,15,North America,1
CT-01789,Software,10738.6,64,Medium,90,5,52,3.3,1,0,12,Europe,0
CT-01504,Services,21541.33,90,High,45,10,40,2.8,0,1,10,North America,0
CT-04433,Hardware,40260.04,54,Low,180,13,60,6.8,0,0,6,Asia,1
CT-07497,Hardware,4465.5,75,Medium,45,15,38,6.0,2,0,16,Europe,1
CT-02487,Software,15373.54,76,Low,120,14,44,7.2,0,0,7,Asia,1
CT-00630,Hardware,258871.88,33,High,60,1,40,7.1,2,0,5,Asia,1
CT-01678,Services,6779.79,52,Medium,180,12,5,4.7,0,0,0,Asia,1
CT-01992,Networking,47164.76,84,High,180,7,10,7.1,0,1,12,Europe,1
CT-06922,Services,4898.61,35,Medium,180,10,7,6.4,0,0,6,North America,0
CT-00568,Networking,49766.59,35,Low,365,3,60,5.7,1,0,6,North America,1
CT-03231,Cloud License,280546.29,77,Critical,365,1,43,7.4,0,0,16,Europe,1
CT-03104,Hardware,18913.0,73,High,365,1,7,7.0,0,0,10,Europe,1
CT-03151,Hardware,23538.66,65,Low,90,12,29,6.5,1,0,15,LATAM,1
CT-00965,Networking,35407.26,83,High,30,4,30,6.8,1,1,14,Europe,0
CT-01420,Networking,143882.52,57,High,90,3,48,7.8,0,0,0,Europe,0
CT-07543,Cloud License,23271.94,21,Low,180,10,54,6.9,0,0,11,Asia,0
CT-06282,Software,47468.75,96,Medium,365,10,54,7.7,0,0,5,North America,0
CT-01933,Software,133251.37,74,Medium,30,8,11,6.9,0,0,4,Asia,1
CT-00998,Hardware,2477.21,84,Low,45,9,26,7.9,0,0,9,LATAM,1
CT-07168,Services,198291.0,49,Critical,60,7,49,7.1,0,1,9,North America,1
CT-00399,Hardware,24768.75,65,Critical,60,13,53,8.0,1,1,5,Asia,1
CT-03263,Hardware,272449.32,39,Low,270,4,23,4.3,0,1,15,LATAM,1
CT-05878,Services,432707.44,61,Low,120,3,23,9.2,0,1,18,Europe,0
CT-07810,Software,176425.35,88,Low,180,4,6,5.7,0,0,3,Europe,0
CT-05859,Cloud License,26682.2,75,Critical,45,2,32,8.2,1,0,13,Europe,1
CT-00391,Networking,190334.94,57,Medium,60,13,29,7.3,0,0,5,Europe,1
CT-04845,Services,70696.3,71,High,180,4,26,6.9,0,1,11,LATAM,1
CT-07087,Services,10159.87,59,Low,120,13,17,6.1,0,0,18,Asia,0
CT-05591,Hardware,500000,73,High,120,14,17,6.5,1,0,5,Asia,1
CT-07833,Networking,500000,78,Low,90,15,47,5.5,0,1,19,North America,1
CT-07422,Services,21955.8,58,Medium,45,8,18,5.2,0,0,1,LATAM,1
CT-04077,Services,4781.24,54,Medium,120,11,4,5.7,1,1,17,Europe,1
CT-07557,Cloud License,500000,44,Critical,270,4,47,8.6,0,0,8,Europe,1
CT-04818,Software,43920.04,56,High,30,15,20,8.0,1,1,10,North America,0
CT-05401,Networking,27677.27,81,Medium,365,15,39,10.0,1,1,4,North America,0
CT-05908,Networking,140310.45,67,High,60,5,43,7.6,0,0,8,Europe,1
CT-06061,Hardware,51782.0,67,Medium,270,5,28,6.9,0,0,18,LATAM,1
CT-00600,Networking,5479.77,69,Medium,120,12,18,5.5,0,1,3,North America,0
CT-04146,Networking,49863.52,64,Medium,90,12,18,2.8,0,1,12,LATAM,0
CT-06037,Software,223569.55,74,Low,180,8,21,8.6,2,0,2,LATAM,1
CT-02795,Networking,11669.52,76,Low,365,8,41,4.3,0,0,19,Europe,1
CT-06437,Services,39717.0,71,High,365,3,6,5.0,0,1,11,Europe,1
CT-04145,Software,22382.51,81,Critical,365,10,36,4.4,0,1,18,North America,0
CT-02379,Services,30153.85,68,Medium,45,2,29,6.1,0,0,19,Europe,0
CT-05885,Hardware,47451.18,65,Medium,180,11,20,8.8,1,0,20,LATAM,1
CT-01818,Software,30019.45,57,Medium,45,2,14,4.4,2,0,0,Europe,1
CT-07428,Cloud License,67384.67,46,Low,30,9,52,8.1,1,0,6,Asia,0
CT-06497,Networking,83899.61,55,Low,120,8,59,8.7,3,0,4,Europe,1
CT-01015,Hardware,16872.68,45,Low,90,2,24,5.5,2,1,2,Europe,1
CT-05918,Services,9365.99,68,Critical,270,2,25,1.0,1,0,20,North America,1
CT-02771,Hardware,36378.95,82,Medium,30,15,58,6.0,1,0,18,North America,1
CT-00835,Networking,185976.04,100,Critical,365,8,23,3.7,0,1,0,North America,0
CT-07884,Networking,162387.37,37,Critical,45,3,3,9.5,0,1,4,Europe,1
CT-06740,Cloud License,500000,53,Medium,120,12,58,7.6,0,0,3,North America,1
CT-01467,Cloud License,44156.98,79,Critical,120,2,18,5.5,0,0,16,Asia,0
CT-04424,Hardware,18022.68,48,Critical,30,14,58,6.5,0,0,9,Europe,1
CT-05506,Cloud License,250502.4,71,Critical,270,12,22,5.5,1,0,9,North America,0
CT-00106,Hardware,10808.86,81,Medium,180,7,39,7.5,0,0,14,LATAM,0
CT-01347,Hardware,68571.59,69,Critical,30,8,19,6.5,0,0,4,LATAM,1
CT-00213,Services,12702.48,42,High,30,6,3,5.9,0,0,20,North America,1
CT-01270,Hardware,213176.1,74,Critical,30,13,43,8.7,0,1,19,LATAM,0
CT-01207,Software,311598.83,80,Low,30,5,48,8.3,1,0,4,North America,1
CT-04370,Services,60131.92,57,Medium,45,9,38,7.0,1,1,19,Asia,0
CT-04599,Networking,368029.69,62,Low,180,2,39,4.6,0,0,11,Europe,1
CT-06840,Software,219011.59,75,High,60,8,6,8.3,0,0,7,North America,0
CT-04769,Services,17210.62,76,Critical,270,5,23,6.3,0,0,20,Europe,0
CT-01683,Software,13943.82,44,Critical,180,2,47,3.0,0,0,7,Europe,0
CT-04805,Networking,101839.21,57,Low,270,14,17,6.7,1,0,16,Europe,1
CT-07563,Services,85275.87,57,Critical,365,13,44,6.1,0,1,17,North America,0
CT-06572,Services,171468.61,82,Medium,90,15,28,6.5,0,1,8,Asia,0
CT-04963,Services,9627.88,68,High,180,14,39,6.9,0,0,7,Asia,0
CT-07593,Software,45627.88,72,High,270,9,44,6.0,1,0,16,LATAM,1
CT-01640,Cloud License,104401.92,42,Medium,45,6,36,8.2,1,1,3,Asia,1
CT-03556,Hardware,41032.51,72,High,270,8,14,6.3,0,1,15,LATAM,1
CT-01533,Software,35593.64,88,Medium,270,6,55,7.5,0,1,17,North America,0
CT-01698,Software,101059.4,86,High,180,5,43,9.1,0,1,17,Asia,0
CT-01898,Cloud License,5000.41,62,Critical,365,9,16,7.6,0,1,12,LATAM,1
CT-02794,Cloud License,213738.49,72,Low,30,7,28,8.3,0,1,14,Europe,1
CT-03679,Software,140760.42,57,High,30,9,34,1.0,0,0,5,Europe,1
CT-02469,Hardware,30637.68,90,High,90,5,57,8.3,1,0,1,Asia,0
CT-01147,Software,77373.4,49,Critical,180,4,6,7.5,0,1,13,Europe,1
CT-02526,Networking,124742.2,63,Low,90,5,59,8.6,0,1,8,Europe,0
CT-07084,Networking,39591.77,25,Low,90,11,51,6.8,0,0,7,LATAM,1
CT-05605,Software,45771.17,71,Critical,45,13,3,6.2,0,1,7,Asia,1
CT-05649,Software,49892.93,51,High,45,10,31,6.9,2,1,11,Europe,0
CT-00210,Hardware,92230.39,75,High,45,12,3,8.3,0,0,13,Asia,1
CT-06082,Services,8582.44,70,High,45,12,35,5.3,1,0,20,LATAM,0
CT-07157,Cloud License,110508.0,71,High,30,5,50,7.1,2,0,2,North America,1
CT-04199,Cloud License,5779.17,74,Critical,180,7,38,10.0,1,0,20,North America,0
CT-06500,Hardware,79079.93,57,High,365,14,44,3.9,1,0,15,LATAM,0
CT-01361,Software,16389.0,63,High,270,1,31,5.1,0,1,19,LATAM,0
CT-04708,Services,117597.51,88,Low,270,1,52,6.4,0,0,12,Europe,0
CT-06680,Services,17805.05,73,Low,90,9,28,6.6,1,1,11,LATAM,1
CT-07660,Services,39767.18,37,Critical,45,10,51,10.0,0,0,7,Asia,1
CT-06495,Hardware,43193.38,100,Critical,120,15,47,8.9,2,1,12,North America,0
CT-04975,Networking,24696.42,92,Medium,60,14,57,8.7,0,0,18,LATAM,0
CT-04760,Software,26186.12,42,Medium,270,12,5,7.9,0,1,1,LATAM,0
CT-01150,Cloud License,127030.67,65,Medium,180,8,53,9.8,0,0,13,North America,0
CT-06171,Networking,216223.1,47,High,120,4,20,6.8,1,1,14,LATAM,1
CT-01319,Networking,14810.58,49,High,45,14,40,8.3,0,0,14,Asia,0
CT-01637,Hardware,14789.91,68,Medium,90,2,25,6.7,0,1,10,LATAM,1
CT-07265,Hardware,173250.64,69,Medium,365,11,7,3.4,0,0,12,Europe,1
CT-03513,Networking,56492.57,84,Medium,180,8,4,8.7,1,0,1,North America,0
CT-00938,Networking,46377.77,25,Low,270,2,7,9.6,1,0,16,Asia,0
CT-02159,Software,50935.44,90,High,60,11,12,7.6,0,1,9,Europe,0
CT-05413,Networking,149550.2,54,Low,60,2,13,4.4,1,0,20,Europe,1
CT-07491,Software,500000,51,Medium,60,9,27,4.8,0,0,15,LATAM,1
CT-07612,Networking,382558.56,97,Critical,365,12,49,1.0,0,0,7,LATAM,0
CT-05641,Cloud License,57917.85,63,Low,180,15,20,8.2,0,0,3,LATAM,0
CT-02378,Software,14608.74,25,High,120,5,39,5.2,0,1,20,Europe,0
CT-00143,Cloud License,25727.27,37,Medium,180,2,37,3.3,1,0,8,Asia,1
CT-01267,Hardware,72571.53,75,Critical,365,11,12,5.1,0,1,2,Europe,1
CT-05423,Networking,40552.28,75,Low,180,4,5,8.2,0,0,13,Asia,1
CT-01575,Software,8798.76,48,High,270,4,45,7.4,0,0,3,Europe,0
CT-04181,Services,26119.1,63,Critical,270,2,31,8.2,0,0,18,Asia,1
CT-03553,Services,21163.94,83,High,90,8,55,7.2,1,0,18,Asia,0
CT-07456,Hardware,64446.1,96,High,30,3,14,4.8,1,1,12,Europe,1
CT-07056,Hardware,56203.81,58,High,60,5,43,6.5,0,0,6,Europe,1
CT-03934,Services,56473.42,79,Low,365,9,3,2.5,0,0,16,North America,1
CT-04830,Cloud License,74292.78,95,Low,90,1,3,8.7,0,1,18,Asia,0
CT-01448,Hardware,440094.64,38,Critical,60,13,56,4.0,1,1,17,North America,0
CT-05784,Cloud License,20278.95,50,High,270,8,26,6.5,0,0,20,Europe,0
CT-02017,Hardware,187674.5,48,Low,30,12,4,8.4,0,1,19,Europe,0
CT-00040,Networking,28839.45,90,Low,180,2,35,6.3,0,0,13,LATAM,0
CT-04158,Hardware,337335.64,55,Medium,45,5,14,4.9,0,0,8,North America,0
CT-07751,Services,25164.27,50,Critical,30,13,22,7.6,2,0,20,Asia,0
CT-04363,Networking,14923.75,63,High,120,5,49,6.1,0,1,17,LATAM,0
CT-01370,Software,89993.32,96,High,365,11,14,2.3,0,1,12,LATAM,0
CT-00139,Software,32291.45,89,Medium,45,1,54,5.4,1,1,0,Asia,0
